incident_rate_per_100k,city,season,year
3611.1768884679136,Price,Spring,2014
3229.278794402583,Price,Spring,2015
3905.311223263638,Price,Spring,2016
3899.8555609051514,Price,Spring,2017
3923.8182652592936,Price,Summer,2011
3951.0166358595193,Price,Summer,2012
3589.2670461145312,Price,Summer,2013
3966.374615202463,Price,Summer,2014
3456.524339193876,Price,Summer,2015
3388.6085075702954,Price,Summer,2016
3803.562831006259,Price,Summer,2017
1307.9394217530978,Price,Winter,2011
3639.0942698706103,Price,Winter,2012
3705.4245556975256,Price,Winter,2013
3161.2597679374853,Price,Winter,2014
3289.0802535581865,Price,Winter,2015
3316.510454217736,Price,Winter,2016
3430.42850264805,Price,Winter,2017
2180.799220272904,Price,Winter,2018
103.84769005458662,Roy,Fall,2011
2514.358309292539,Roy,Fall,2012
36.50301149844862,Roy,Fall,2015
8588.518645951883,Roy,Spring,2012
8489.624376149199,Roy,Spring,2013
148.3525063765551,Roy,Spring,2016
9872.164730169652,Roy,Summer,2012
3154.858004922849,Roy,Winter,2012
6306.803257157867,Roy,Winter,2013
364.37457706522304,Roy,Winter,2016
6.973014434139879,Salt Lake City,Fall,2010
17.680813103089857,Salt Lake City,Fall,2011
575.7841340663426,Salt Lake City,Fall,2012
7551.14810472019,Salt Lake City,Fall,2013
8095.939538103591,Salt Lake City,Fall,2014
11.468069246287213,Salt Lake City,Fall,2015
11.448613937126295,Salt Lake City,Fall,2016
9.75960550647216,Salt Lake City,Fall,2017
10.451296956184182,Salt Lake City,Fall,2018
1.0727714514061353,Salt Lake City,Spring,2010
8.036733228677207,Salt Lake City,Spring,2011
602.3424428332404,Salt Lake City,Spring,2012
7923.946935320192,Salt Lake City,Spring,2013
7387.011310580312,Salt Lake City,Spring,2014
16.159552119768346,Salt Lake City,Spring,2015
22.89722787425259,Salt Lake City,Spring,2016
7.704951715635916,Salt Lake City,Spring,2017
11.446658571058865,Salt Lake City,Spring,2018
3.218314354218405,Salt Lake City,Summer,2010
11.787208735393238,Salt Lake City,Summer,2011
657.5837250683877,Salt Lake City,Summer,2012
8637.470226045441,Salt Lake City,Summer,2013
8575.845430744166,Salt Lake City,Summer,2014
10.946793371455977,Salt Lake City,Summer,2015
17.693312448286093,Salt Lake City,Summer,2016
11.814259297308404,Salt Lake City,Summer,2017
7.46521211156013,Salt Lake City,Summer,2018
2.6819286285153376,Salt Lake City,Winter,2010
6.965168798186913,Salt Lake City,Winter,2011
459.45874166733057,Salt Lake City,Winter,2012
7117.355389282953,Salt Lake City,Winter,2013
7135.086742209337,Salt Lake City,Winter,2014
31.276552489874216,Salt Lake City,Winter,2015
9.367047766739695,Salt Lake City,Winter,2016
14.89623998356277,Salt Lake City,Winter,2017
3.981446459498736,Salt Lake City,Winter,2018
7531.33514986376,Santaquin,Fall,2010
7472.503773991805,Santaquin,Fall,2011
4319.631837673884,Santaquin,Fall,2012
4096.045197740113,Santaquin,Fall,2013
3098.0041703902293,Santaquin,Fall,2014
3508.4318666408217,Santaquin,Fall,2015
4333.427949664112,Santaquin,Fall,2016
4239.739649249684,Santaquin,Fall,2017
4399.381336999485,Santaquin,Fall,2018
6942.779291553134,Santaquin,Spring,2010
8119.47379771404,Santaquin,Spring,2011
4863.508001255099,Santaquin,Spring,2012
3773.2041969330103,Santaquin,Spring,2013
3197.299175851455,Santaquin,Spring,2014
1967.4355495251018,Santaquin,Spring,2015
3879.2695619263886,Santaquin,Spring,2016
3688.3022961489787,Santaquin,Spring,2017
5112.562295927135,Santaquin,Spring,2018
8163.487738419618,Santaquin,Summer,2010
5865.861548414923,Santaquin,Summer,2011
5104.068612069867,Santaquin,Summer,2012
4701.37207425343,Santaquin,Summer,2013
3395.8891867739053,Santaquin,Summer,2014
3886.412095367319,Santaquin,Summer,2015
4248.273251963289,Santaquin,Summer,2016
4284.939432290725,Santaquin,Summer,2017
5464.856504554047,Santaquin,Summer,2018
7084.4686648501365,Santaquin,Winter,2010
5952.124218244555,Santaquin,Winter,2011
4183.66279677858,Santaquin,Winter,2012
3561.339790153349,Santaquin,Winter,2013
2998.709164929004,Santaquin,Winter,2014
3207.9860438069395,Santaquin,Winter,2015
3444.0344403444033,Santaquin,Winter,2016
4040.8606038691014,Santaquin,Winter,2017
4253.308128544423,Santaquin,Winter,2018
691.0778751933987,Smithfield,Fall,2011
2496.741201243357,Smithfield,Fall,2012
6865.904873522804,Smithfield,Fall,2013
2508.891665865616,Smithfield,Fall,2014
18.95195678953852,Smithfield,Fall,2015
9.333582228859436,Smithfield,Fall,2016
153.59595229490424,Smithfield,Fall,2017
8.809020436927414,Smithfield,Fall,2018
621.6785320364985,Smithfield,Spring,2012
6065.045414591268,Smithfield,Spring,2013
4383.3509564548685,Smithfield,Spring,2014
3818.8192930920113,Smithfield,Spring,2015
196.00522680604817,Smithfield,Spring,2016
44.045102184637074,Smithfield,Spring,2018
461.2453624786924,Smithfield,Summer,2012
5313.018849497022,Smithfield,Summer,2013
6075.170623858502,Smithfield,Summer,2014
1610.9163271107743,Smithfield,Summer,2015
130.67015120403212,Smithfield,Summer,2016
54.210336104083844,Smithfield,Summer,2017
72.20216606498195,Smithfield,Winter,2011
3359.0694876165644,Smithfield,Winter,2012
8203.92616466452,Smithfield,Winter,2013
5258.09862539652,Smithfield,Winter,2014
1847.8157869800057,Smithfield,Winter,2015
65.33507560201606,Smithfield,Winter,2016
63.245392121431145,Smithfield,Winter,2017
114.51726568005638,Smithfield,Winter,2018
5762.4023536572995,South Jordan,Fall,2014
6200.557281491208,South Jordan,Fall,2015
5562.286095041948,South Jordan,Fall,2016
5218.469618498796,South Jordan,Fall,2017
5236.222137630588,South Jordan,Fall,2018
6029.209236780578,South Jordan,Spring,2015
5804.585516552079,South Jordan,Spring,2016
5635.7137646801375,South Jordan,Spring,2017
5285.567257398243,South Jordan,Spring,2018
3.8985594822713012,South Jordan,Summer,2011
1.8758558592357761,South Jordan,Summer,2012
4428.325048189105,South Jordan,Summer,2014
6785.062293821863,South Jordan,Summer,2015
6405.790956174093,South Jordan,Summer,2016
6140.491647822599,South Jordan,Summer,2017
5795.936781852275,South Jordan,Summer,2018
1900.510635419837,South Jordan,Winter,2014
5721.7435864587005,South Jordan,Winter,2015
5318.472302147378,South Jordan,Winter,2016
5068.203370048873,South Jordan,Winter,2017
4211.253507028155,South Jordan,Winter,2018
819.0304125263476,South Ogden,Fall,2011
12356.511809603942,South Ogden,Fall,2012
11441.387559808612,South Ogden,Fall,2013
47.568081817100726,South Ogden,Fall,2015
12284.392090870846,South Ogden,Spring,2012
11070.574162679426,South Ogden,Spring,2013
527.7827195635415,South Ogden,Spring,2016
258.95814513700697,South Ogden,Summer,2011
10571.548770959793,South Ogden,Summer,2012
11172.248803827752,South Ogden,Summer,2013
327.03056249256747,South Ogden,Summer,2015
4868.081014484043,South Ogden,Winter,2012
8989.234449760766,South Ogden,Winter,2013
1140.5708825988295,South Ogden,Winter,2014
3085.9793078844095,South Ogden,Winter,2015
919.1721520488643,South Ogden,Winter,2016
6061.7629591923305,South Salt Lake,Fall,2010
7673.70832272843,South Salt Lake,Fall,2011
6691.776522284997,South Salt Lake,Fall,2012
6469.0360352931475,South Salt Lake,Fall,2013
6279.977237622958,South Salt Lake,Fall,2014
6756.646881860313,South Salt Lake,Fall,2015
6036.7560550123735,South Salt Lake,Fall,2016
7030.647452811041,South Salt Lake,Fall,2017
6021.634615384615,South Salt Lake,Fall,2018
10804.275897174854,South Salt Lake,Spring,2010
8891.151268346484,South Salt Lake,Spring,2011
8047.708725674828,South Salt Lake,Spring,2012
