column 1,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
583,300 Block N 200 E,12-C1360,MILLVILLE,,,03/01/2012 08:49:43 PM,Wednesday,18,02/22/2012 06:02:05 PM,"""Assist,Citizen""",101380369,"""[CCSO] ASSIST,CITIZEN""",41.688248,"{'type': 'Point', 'coordinates': [-111.817695, 41.688248]}",-111.817695,Community Policing,UT,03/11/2012 12:01:49 PM,
584,500 Block S 200 W,12-C1335,PROVIDENCE,,,03/01/2012 08:49:43 PM,Tuesday,19,02/21/2012 07:02:00 PM,Keep the Peace,101380370,[CCSO] KEEP THE PEACE,41.697654,"{'type': 'Point', 'coordinates': [-111.823181, 41.697654]}",-111.823181,Community Policing,UT,03/27/2012 12:02:12 PM,
585,100 Block E 300 N,12-C1309,RICHMOND,,,03/01/2012 08:49:43 PM,Monday,17,02/20/2012 05:02:00 PM,"""Assist,Citizen""",101380372,"""[CCSO] ASSIST,CITIZEN""",41.928852,"{'type': 'Point', 'coordinates': [-111.804511, 41.928852]}",-111.804511,Community Policing,UT,03/06/2012 01:00:30 PM,
586,1 Block W MAIN ST,12-C1336,HYRUM,,,03/01/2012 08:49:43 PM,Tuesday,20,02/21/2012 08:02:55 PM,"""Alarm,Intru""",101380373,"""[CCSO] ALARM,INTRU""",41.634102,"{'type': 'Point', 'coordinates': [-111.857554, 41.634102]}",-111.857554,Alarm,UT,03/27/2012 12:02:12 PM,
587,1200 Block NIBLEY PARK AVE,12-C1337,NIBLEY,,,03/01/2012 08:49:43 PM,Tuesday,20,02/21/2012 08:02:00 PM,Parking Problem,101380374,[CCSO] PARKING PROBLEM,41.689976,"{'type': 'Point', 'coordinates': [-111.863862, 41.689976]}",-111.863862,Traffic,UT,03/11/2012 12:01:49 PM,
588,700 Block S MAIN ST,12-C1283,LOGAN,,,03/01/2012 08:49:43 PM,Sunday,1,02/19/2012 01:02:00 AM,DUI,101380376,[CCSO] DUI,41.719315,"{'type': 'Point', 'coordinates': [-111.83528, 41.719315]}",-111.83528,Traffic,UT,03/01/2012 09:30:59 PM,
589,400 Block FERNWOOD DR,18-C3746,HYRUM,,,05/07/2018 06:37:26 AM,Sunday,10,05/06/2018 10:16:06 AM,"Assist,Citizen",851361917,"[CCSO] ASSIST,CITIZEN",41.6254,"{'type': 'Point', 'coordinates': [-111.841, 41.6254]}",-111.841,Community Policing,UT,06/05/2018 03:01:49 PM,
590,5800 Block N SR 23,12-C1364,CACHE COUNTY,,,03/01/2012 08:49:43 PM,Wednesday,23,02/22/2012 11:02:00 PM,"""Assist,Citizen""",101380378,"""[CCSO] ASSIST,CITIZEN""",41.837161,"{'type': 'Point', 'coordinates': [-112.00608, 41.837161]}",-112.00608,Community Policing,UT,03/14/2012 12:02:19 PM,
591,1 Block W MAIN ST,16-C3791,HYRUM,,,05/12/2016 06:49:09 AM,Wednesday,13,05/11/2016 01:20:57 PM,"Assist,Citizen",759230001,"[CCSO] ASSIST,CITIZEN",41.6341,"{'type': 'Point', 'coordinates': [-111.858, 41.6341]}",-111.858,Community Policing,UT,06/10/2016 09:09:49 AM,
592,200 Block W GOLF COURSE RD,12-C1339,LOGAN,,,03/01/2012 08:49:43 PM,Tuesday,23,02/21/2012 11:02:53 PM,"""Assist,Agency""",101380380,"""[CCSO] ASSIST,AGENCY""",41.715937,"{'type': 'Point', 'coordinates': [-111.84104, 41.715937]}",-111.84104,Community Policing,UT,03/01/2012 09:43:51 PM,
593,300 Block N 900 E,18-C3747,WELLSVILLE,,,05/07/2018 06:37:26 AM,Sunday,11,05/06/2018 11:28:45 AM,"Alarm,Intru",851361918,"[CCSO] ALARM,INTRU",41.6469,"{'type': 'Point', 'coordinates': [-111.91, 41.6469]}",-111.91,Alarm,UT,06/05/2018 03:01:49 PM,
594,500 Block S 250 E,16-C3795,SMITHFIELD,,,05/12/2016 06:49:09 AM,Wednesday,15,05/11/2016 03:12:37 PM,"Assault,Simple",759230005,"[CCSO] ASSAULT,SIMPLE",41.8256,"{'type': 'Point', 'coordinates': [-111.826, 41.8256]}",-111.826,Assault,UT,06/21/2016 09:13:33 AM,
595,500 Block S 250 E,12-C1393,SMITHFIELD,,,03/01/2012 08:49:43 PM,Wednesday,16,02/22/2012 04:02:00 PM,Crim Mischief,101380383,[CCSO] CRIM MISCHIEF,41.825593,"{'type': 'Point', 'coordinates': [-111.826236, 41.825593]}",-111.826236,Property Crime,UT,03/26/2012 12:02:27 PM,
596,2400 Block S 1000 W,12-C1287,NIBLEY,,,03/01/2012 08:49:43 PM,Sunday,15,02/19/2012 03:02:43 PM,Animal Problem,101380384,[CCSO] ANIMAL PROBLEM,41.688136,"{'type': 'Point', 'coordinates': [-111.857244, 41.688136]}",-111.857244,Community Policing,UT,03/06/2012 01:00:30 PM,
597,MP 465 US 89,12-C1288,CACHE COUNTY,,,03/01/2012 08:49:43 PM,Sunday,15,02/19/2012 03:02:00 PM,Weapon Offense,101380385,[CCSO] WEAPON OFFENSE,41.755333,"{'type': 'Point', 'coordinates': [-111.717733, 41.755333]}",-111.717733,Weapons Offense,UT,03/06/2012 01:00:30 PM,
598,1 Block S 200 W,12-C1289,HYRUM,,,03/01/2012 08:49:43 PM,Sunday,15,02/19/2012 03:02:00 PM,Parking Problem,101380386,[CCSO] PARKING PROBLEM,41.633867,"{'type': 'Point', 'coordinates': [-111.860738, 41.633867]}",-111.860738,Traffic,UT,03/11/2012 12:01:49 PM,
599,1 Block W 300 N,12-C1320,HYRUM,,,03/01/2012 08:49:43 PM,Tuesday,8,02/21/2012 08:02:42 AM,Fraud,101380387,[CCSO] FRAUD,41.640359,"{'type': 'Point', 'coordinates': [-111.856661, 41.640359]}",-111.856661,Theft,UT,03/08/2012 01:00:28 PM,
600,1 Block N 675 E,16-C3796,HYRUM,,,05/12/2016 06:49:09 AM,Wednesday,15,05/11/2016 03:22:20 PM,"Assist,Citizen",759230006,"[CCSO] ASSIST,CITIZEN",41.6344,"{'type': 'Point', 'coordinates': [-111.836, 41.6344]}",-111.836,Community Policing,UT,06/10/2016 09:09:51 AM,
601,400 Block N MAIN ST,18-C3748,SMITHFIELD,,,05/07/2018 06:37:26 AM,Sunday,12,05/06/2018 12:36:47 PM,"Assist,Agency",851361919,"[CCSO] ASSIST,AGENCY",41.845,"{'type': 'Point', 'coordinates': [-111.832, 41.845]}",-111.832,Community Policing,UT,06/05/2018 03:01:49 PM,
602,FOXRIDGE DR,17-C11026,PROVIDENCE,,,01/05/2018 11:15:48 PM,Wednesday,12,12/06/2017 12:38:25 PM,"Assist,Citizen",830957812,"[CCSO] ASSIST,CITIZEN",41.7043,"{'type': 'Point', 'coordinates': [-111.801, 41.7043]}",-111.801,Community Policing,UT,02/01/2018 06:57:20 AM,
603,200 Block S 800 E,17-C11028,HYRUM,,,01/05/2018 11:15:48 PM,Wednesday,12,12/06/2017 12:50:27 PM,Trespassing,830957814,[CCSO] TRESPASSING,41.6282,"{'type': 'Point', 'coordinates': [-111.833, 41.6282]}",-111.833,Property Crime,UT,01/27/2018 01:49:43 PM,
604,100 Block W MAIN ST,16-C8167,HYRUM,,,09/24/2016 07:06:52 AM,Friday,14,09/23/2016 02:53:18 PM,Welfare Check,773850243,[CCSO] WELFARE CHECK,41.6341,"{'type': 'Point', 'coordinates': [-111.86, 41.6341]}",-111.86,Community Policing,UT,11/04/2016 06:00:08 PM,
605,100 Block S 200 E,16-C8168,CLARKSTON,,,09/24/2016 07:06:52 AM,Friday,15,09/23/2016 03:30:51 PM,Welfare Check,773850244,[CCSO] WELFARE CHECK,41.9168,"{'type': 'Point', 'coordinates': [-112.045, 41.9168]}",-112.045,Community Policing,UT,11/04/2016 06:00:08 PM,
606,1 Block N MAIN ST,12-C1350,PROVIDENCE,,,03/01/2012 08:49:43 PM,Wednesday,9,02/22/2012 09:02:34 AM,"""Assist,Citizen""",101380391,"""[CCSO] ASSIST,CITIZEN""",41.708051,"{'type': 'Point', 'coordinates': [-111.817778, 41.708051]}",-111.817778,Community Policing,UT,03/12/2012 12:02:02 PM,
607,300 Block S MAIN ST,12-C1351,SMITHFIELD,,,03/01/2012 08:49:43 PM,Wednesday,9,02/22/2012 09:02:00 AM,"""Assist,Agency""",101380392,"""[CCSO] ASSIST,AGENCY""",41.828284,"{'type': 'Point', 'coordinates': [-111.832908, 41.828284]}",-111.832908,Community Policing,UT,03/08/2012 01:00:28 PM,
608,2600 Block S SR 165,12-C1326,NIBLEY,,,03/01/2012 08:49:43 PM,Tuesday,13,02/21/2012 01:02:00 PM,Traffic Offense,101380393,[CCSO] TRAFFIC OFFENSE,41.685525,"{'type': 'Point', 'coordinates': [-111.833817, 41.685525]}",-111.833817,Traffic,UT,03/12/2012 12:02:02 PM,
609,1 Block N 200 E,12-C1352,HYRUM,,,03/01/2012 08:49:43 PM,Wednesday,10,02/22/2012 10:02:44 AM,Trespassing,101380394,[CCSO] TRESPASSING,41.634832,"{'type': 'Point', 'coordinates': [-111.849624, 41.634832]}",-111.849624,Property Crime,UT,03/05/2012 01:00:32 PM,
610,500 Block N 100 W,12-C1353,MENDON,,,03/01/2012 08:49:43 PM,Wednesday,10,02/22/2012 10:02:00 AM,Fraud,101380395,[CCSO] FRAUD,41.718701,"{'type': 'Point', 'coordinates': [-111.978989, 41.718701]}",-111.978989,Theft,UT,07/24/2012 12:02:45 PM,
611,1 Block N SR 165,12-C1407,PROVIDENCE,,,03/01/2012 08:49:43 PM,Wednesday,10,02/22/2012 10:02:00 AM,"""Theft,Retail""",101380396,"""[CCSO] THEFT,RETAIL""",41.70928,"{'type': 'Point', 'coordinates': [-111.834633, 41.70928]}",-111.834633,Theft,UT,04/16/2012 12:02:30 PM,
612,200 Block W 300 S,17-C11039,HYRUM,,,01/05/2018 11:15:48 PM,Wednesday,19,12/06/2017 07:34:51 PM,Susp Incident,830957825,[CCSO] SUSP INCIDENT,41.6279,"{'type': 'Point', 'coordinates': [-111.864, 41.6279]}",-111.864,Community Policing,UT,01/08/2018 07:32:54 AM,
613,2500 Block S 3800 W,12-C1354,CACHE COUNTY,,,03/01/2012 08:49:43 PM,Wednesday,10,02/22/2012 10:02:53 AM,VIN Inspection,101380398,[CCSO] VIN INSPECTION,41.686867,"{'type': 'Point', 'coordinates': [-111.923221, 41.686867]}",-111.923221,Traffic,UT,03/26/2012 12:02:27 PM,
614,3000 Block S SR 165,12-C1355,NIBLEY,,,03/01/2012 08:49:43 PM,Wednesday,12,02/22/2012 12:02:00 PM,"""Assist,Citizen""",101380400,"""[CCSO] ASSIST,CITIZEN""",41.676809,"{'type': 'Point', 'coordinates': [-111.833329, 41.676809]}",-111.833329,Community Policing,UT,03/12/2012 12:02:02 PM,
615,2700 Block S US 89 & 91,12-C1382,NIBLEY,,,03/01/2012 08:49:43 PM,Wednesday,0,02/22/2012 12:02:00 AM,Burglary,101380401,[CCSO] BURGLARY,41.683633,"{'type': 'Point', 'coordinates': [-111.874815, 41.683633]}",-111.874815,Breaking & Entering,UT,07/30/2012 12:02:37 PM,
616,1000 Block N MAIN ST,12-C1329,LOGAN,,,03/01/2012 08:49:43 PM,Tuesday,14,02/21/2012 02:02:07 PM,Traffic Offense,101380402,[CCSO] TRAFFIC OFFENSE,41.750929,"{'type': 'Point', 'coordinates': [-111.834458, 41.750929]}",-111.834458,Traffic,UT,03/08/2012 01:00:28 PM,
617,MP 11 US 89 & 91,12-C1356,CACHE COUNTY,,,03/01/2012 08:49:43 PM,Wednesday,13,02/22/2012 01:02:28 PM,Animal Problem,101380403,[CCSO] ANIMAL PROBLEM,41.568185,"{'type': 'Point', 'coordinates': [-111.96663, 41.568185]}",-111.96663,Community Policing,UT,03/01/2012 09:43:51 PM,
618,1 Block S 200 W,12-C1357,RICHMOND,,,03/01/2012 08:49:43 PM,Wednesday,14,02/22/2012 02:02:01 PM,"""Assist,Citizen""",101380404,"""[CCSO] ASSIST,CITIZEN""",41.922478,"{'type': 'Point', 'coordinates': [-111.814337, 41.922478]}",-111.814337,Community Policing,UT,03/27/2012 12:02:12 PM,
619,8700 Block S 200 W,12-C1383,PARADISE,,,03/01/2012 08:49:43 PM,Wednesday,18,02/22/2012 06:02:00 PM,Burglary,101380405,[CCSO] BURGLARY,41.574181,"{'type': 'Point', 'coordinates': [-111.838295, 41.574181]}",-111.838295,Breaking & Entering,UT,04/03/2012 12:02:01 PM,
620,100 Block S 600 W,12-C1358,HYRUM,,,03/01/2012 08:49:43 PM,Wednesday,15,02/22/2012 03:02:00 PM,"""Assist,Agency""",101380406,"""[CCSO] ASSIST,AGENCY""",41.631691,"{'type': 'Point', 'coordinates': [-111.870982, 41.631691000000004]}",-111.870982,Community Policing,UT,03/11/2012 12:01:49 PM,
621,10600 Block S 800 E,12-C1359,CACHE COUNTY,,,03/01/2012 08:49:43 PM,Wednesday,17,02/22/2012 05:02:00 PM,Animal Problem,101380407,[CCSO] ANIMAL PROBLEM,41.537001,"{'type': 'Point', 'coordinates': [-111.812402, 41.537001]}",-111.812402,Community Policing,UT,03/31/2012 12:02:05 PM,
