incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
742732415,15UV01979,12/30/2015 07:12:30 PM,CITIZEN ASSIST,Description: Citizen Assist,,UVLC,,UTAH VALLEY U,UT,,,40.2785,-111.713,01/02/2016 06:41:57 AM,01/12/2016 09:01:34 AM,POINT (-111.713 40.2785),19,Wednesday,Community Policing
837973327,18UV00505,03/11/2018 12:03:36 PM,PROPERTY-LOST,Description: Property-Lost,,UVRL,,UTAH VALLEY U,UT,,,40.2796,-111.716,03/14/2018 06:01:21 AM,03/25/2018 10:29:27 AM,POINT (-111.716 40.2796),12,Sunday,Property Crime
75140168,11UV01066,07/21/2011 09:07:00 AM,ALARM,Description: Alarm,,GT,,UTAH VALLEY U,UT,,,40.2785307484,-111.7103667,07/28/2011 08:04:21 AM,08/02/2011 08:04:18 AM,POINT (-111.710367 40.278531),9,Thursday,Alarm
83077688,11UV01503,09/25/2011 06:09:40 AM,ALARM,Description: Alarm,,SC,,UTAH VALLEY U,UT,,,40.2787807484,-111.7144267,10/02/2011 08:04:58 AM,10/07/2011 08:05:28 AM,POINT (-111.714427 40.278781),6,Sunday,Alarm
73959278,11UV01031,07/14/2011 11:07:13 AM,INFORMATION,Description: Information,,WB,,UTAH VALLEY U,UT,,,40.2779307484,-111.7131367,07/21/2011 08:04:08 AM,07/26/2011 08:04:23 AM,POINT (-111.713137 40.277931),11,Thursday,Community Policing
87687470,11UV01817,11/10/2011 10:11:35 PM,CRIMINAL MISCHIEF,Description: Criminal Mischief,,SC,,UTAH VALLEY U,UT,,,40.2787807484,-111.7144267,11/17/2011 09:04:46 AM,11/21/2011 09:04:40 AM,POINT (-111.714427 40.278781),22,Thursday,Other
866715316,18UV01423,08/09/2018 12:08:47 AM,WARRANT SERVED FOR OTHER AGENC,Description: Warrant Served For Other Agenc,,400 Block S COMMERCE RD,,OREM,UT,,,40.2899,-111.73,08/12/2018 06:04:00 AM,08/22/2018 06:26:31 PM,POINT (-111.73 40.2899),0,Thursday,Community Policing
82666501,11UV01448,09/19/2011 02:09:50 PM,INFORMATION,Description: Information,,GT,,UTAH VALLEY U,UT,,,40.2785307484,-111.7103667,09/28/2011 08:04:57 AM,10/01/2011 08:04:45 AM,POINT (-111.710367 40.278531),14,Monday,Community Policing
856196790,18UV01001,05/24/2018 10:05:09 PM,SUSPICIOUS,Description: Suspicious,,UVLI,,UTAH VALLEY U,UT,,,40.2811,-111.716,06/02/2018 08:05:23 AM,06/04/2018 11:24:29 AM,POINT (-111.716 40.2811),22,Thursday,Community Policing
842425410,18UV00676,04/10/2018 10:04:21 AM,INFORMATION,Description: Information,,300 Block UVGT,,UTAH VALLEY U,UT,,,40.2785,-111.71,04/13/2018 06:02:51 AM,04/23/2018 06:34:06 PM,POINT (-111.71 40.2785),10,Tuesday,Community Policing
728147781,15UV01173,08/16/2015 12:08:52 AM,ALARM,Description: Alarm,,UVEC,,UTAH VALLEY U,UT,,,40.2786,-111.717,08/22/2015 08:02:15 AM,08/29/2015 08:05:58 AM,POINT (-111.717 40.2786),0,Sunday,Alarm
856605835,18UV01055,06/04/2018 01:06:56 AM,AGENCY ASSIST,Description: Agency Assist,,500 Block W BRUIN BLVD,,OREM,UT,,,40.2941,-111.709,06/07/2018 06:53:39 AM,06/16/2018 11:37:02 AM,POINT (-111.709 40.2941),1,Monday,Community Policing
79308238,11UV01286,08/31/2011 04:08:24 PM,THEFT-PROPERTY-BUILDING,Description: Theft-Property-Building,,GT,,UTAH VALLEY U,UT,,,40.2785307484,-111.7103667,09/07/2011 08:05:07 AM,09/12/2011 08:04:43 AM,POINT (-111.710367 40.278531),16,Wednesday,Theft
85260219,11UV01682,10/19/2011 08:10:41 AM,THEFT-PROPERTY-VEHICLE PARTS,Description: Theft-Property-Vehicle Parts,,NG,,UTAH VALLEY U,UT,,,40.2803107484,-111.7282967,10/26/2011 08:05:24 AM,10/31/2011 08:04:56 AM,POINT (-111.728297 40.280311),8,Wednesday,Theft
748866758,16UV00223,01/31/2016 10:01:06 PM,AGENCY ASSIST,Description: Agency Assist,,1200 Block W UNIVERSITY PKWY,,OREM,UT,,,40.2752,-111.726,02/03/2016 06:44:44 AM,02/12/2016 09:10:28 AM,POINT (-111.726 40.2752),22,Sunday,Community Policing
84998635,11UV01647,10/13/2011 11:10:21 AM,SUSPICIOUS,Description: Suspicious,,GT,,UTAH VALLEY U,UT,,,40.2785307484,-111.7103667,10/22/2011 08:05:17 AM,10/25/2011 08:04:48 AM,POINT (-111.710367 40.278531),11,Thursday,Community Policing
72686362,11UV00954,06/29/2011 10:06:08 AM,ALARM,Description: Alarm,,GT,,UTAH VALLEY U,UT,,,40.1847687484,-111.5445867,07/09/2011 08:04:39 AM,07/11/2011 08:04:45 AM,POINT (-111.544587 40.184769),10,Wednesday,Alarm
83606643,11UV01544,09/30/2011 12:09:45 PM,ALARM,Description: Alarm,,SC,,UTAH VALLEY U,UT,,,40.2787807484,-111.7144267,10/07/2011 08:05:29 AM,10/12/2011 08:04:58 AM,POINT (-111.714427 40.278781),12,Friday,Alarm
733512540,15UV01540,10/05/2015 10:10:11 AM,CITIZEN ASSIST,Description: Citizen Assist,,UVLVL,,UTAH VALLEY U,UT,,,40.2765,-111.712,10/08/2015 08:15:22 AM,10/17/2015 08:16:24 AM,POINT (-111.712 40.2765),10,Monday,Community Policing
89665267,11UV01906,11/30/2011 07:11:12 PM,ALARM,Description: Alarm,,PE,,UTAH VALLEY U,UT,,,40.2795607484,-111.7161867,12/07/2011 09:04:47 AM,12/12/2011 09:05:09 AM,POINT (-111.716187 40.279561),19,Wednesday,Alarm
833394750,18UV00211,02/02/2018 10:02:24 PM,AGENCY ASSIST,Description: Agency Assist,,1200 Block W 1000 SOUTH ST,,OREM,UT,,,40.2789,-111.726,02/05/2018 07:07:35 AM,02/16/2018 06:59:49 AM,POINT (-111.726 40.2789),22,Friday,Community Policing
810045610,17UV01205,06/15/2017 09:06:21 AM,CITIZEN ASSIST,Description: Citizen Assist,,300 Block UVGT,,UTAH VALLEY U,UT,,,40.2785,-111.71,06/18/2017 10:06:28 AM,06/28/2017 10:12:52 AM,POINT (-111.71 40.2785),9,Thursday,Community Policing
831564553,18UV00050,01/11/2018 11:01:56 AM,TRAFFIC ACCIDENT-NON REPORTABL,Description: Traffic Accident-Non Reportabl,,UVLDP,,UTAH VALLEY U,UT,,,40.2824,-111.717,01/14/2018 07:53:16 AM,01/29/2018 06:08:25 PM,POINT (-111.717 40.2824),11,Thursday,Traffic
90308819,11UV01935,12/07/2011 08:12:14 PM,CS-POSS PARAPHERNALIA,Description: CS-Poss Paraphernalia,,W COLLEGE DR,,UTAH VALLEY U,UT,,,40.2816507484,-111.7221967,12/14/2011 09:05:34 AM,12/19/2011 09:05:21 AM,POINT (-111.722197 40.281651),20,Wednesday,Drugs
745801925,16UV00109,01/17/2016 03:01:43 PM,AGENCY ASSIST,Description: Agency Assist,,UVUNT,,UTAH VALLEY U,UT,,,40.275,-111.712,01/20/2016 06:38:36 AM,01/28/2016 09:30:51 AM,POINT (-111.712 40.275),15,Sunday,Community Policing
84701267,11UV01633,10/12/2011 09:10:53 AM,ALARM,Description: Alarm,,SC,,UTAH VALLEY U,UT,,,40.2787807484,-111.7144267,10/19/2011 08:04:48 AM,10/24/2011 08:04:59 AM,POINT (-111.714427 40.278781),9,Wednesday,Alarm
86134511,11UV01740,10/28/2011 04:10:11 PM,SUSPICIOUS,Description: Suspicious,,M27,,UTAH VALLEY U,UT,,,40.2777307484,-111.7107867,11/04/2011 08:05:11 AM,11/09/2011 09:04:53 AM,POINT (-111.710787 40.277731),16,Friday,Community Policing
84016281,11UV01578,10/05/2011 07:10:21 AM,INFORMATION,Description: Information,,GT,,UTAH VALLEY U,UT,,,40.2785307484,-111.7103667,10/12/2011 08:04:58 AM,10/17/2011 08:05:04 AM,POINT (-111.710367 40.278531),7,Wednesday,Community Policing
864757938,18UV01303,07/21/2018 12:07:20 AM,PROPERTY-FOUND,Description: Property-Found,,UVCS,,UTAH VALLEY U,UT,,,40.2791,-111.711,07/24/2018 06:58:53 AM,08/03/2018 11:25:10 PM,POINT (-111.711 40.2791),0,Saturday,Property Crime
