column 1,address_1,case_number,city,clearance_type,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
7935,2900 Block W 2175 N,C2024866,CLINTON,,04/03/2019 09:44:10 AM,Tuesday,12,04/02/2019 12:20:28 PM,Susp Circumstance,912669391,CAD: Susp Circumstance,41.1455307,"{'type': 'Point', 'coordinates': [-112.0818272, 41.1455307]}",-112.0818272,Community Policing,UT,04/08/2019 08:42:50 AM,84015.0
7936,2400 Block N 690 W,C2024867,CLINTON,,04/03/2019 09:44:10 AM,Tuesday,12,04/02/2019 12:26:02 PM,Welfare Check,912669388,CAD: Welfare Check,41.1489938,"{'type': 'Point', 'coordinates': [-112.0386326, 41.1489938]}",-112.0386326,Other,UT,04/08/2019 08:42:50 AM,84015.0
7937,2500 Block N 2830 W,C2024879,CLINTON,,04/03/2019 09:44:10 AM,Tuesday,12,04/02/2019 12:54:45 PM,Residential Alarm,912669390,CAD: Residential Alarm,41.1506564,"{'type': 'Point', 'coordinates': [-112.0811273, 41.1506564]}",-112.0811273,Alarm,UT,04/08/2019 08:42:50 AM,84015.0
7938,1400 Block N 2000 W,C2024966,CLINTON,,04/03/2019 09:44:10 AM,Tuesday,16,04/02/2019 04:37:52 PM,Accident Property Damage,912669387,CAD: Accident Property Damage,41.1341787,"{'type': 'Point', 'coordinates': [-112.0633439, 41.1341787]}",-112.0633439,Traffic,UT,04/08/2019 08:42:50 AM,84015.0
7939,1600 Block N 2000 W,C2024972,CLINTON,,04/03/2019 09:44:10 AM,Tuesday,16,04/02/2019 04:47:05 PM,Shoplifting,912669386,CAD: Shoplifting,41.1369879,"{'type': 'Point', 'coordinates': [-112.0638633, 41.1369879]}",-112.0638633,Theft,UT,04/08/2019 08:42:50 AM,84015.0
7940,1900 Block N 2000 W,C2025115,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,1,04/03/2019 01:02:23 AM,Traffic Stop,912778255,CAD: Traffic Stop,41.141532,"{'type': 'Point', 'coordinates': [-112.0638863, 41.141532]}",-112.0638863,Vehicle Stop,UT,04/08/2019 08:42:51 AM,84015.0
7941,1500 Block W 800 N,C2025118,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,1,04/03/2019 01:19:29 AM,Traffic Stop,912778256,CAD: Traffic Stop,41.1253441,"{'type': 'Point', 'coordinates': [-112.0548656, 41.1253441]}",-112.0548656,Vehicle Stop,UT,04/08/2019 08:42:51 AM,84015.0
7942,1200 Block N 1000 W,C2025120,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,1,04/03/2019 01:26:41 AM,Extra Patrol On Site Call,912778257,CAD: Extra Patrol On Site Call,41.13110409999999,"{'type': 'Point', 'coordinates': [-112.044988, 41.13110409999999]}",-112.044988,Community Policing,UT,04/08/2019 08:42:51 AM,84015.0
7943,1700 Block N 1500 W,C2025122,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,1,04/03/2019 01:32:20 AM,Traffic Stop,912778259,CAD: Traffic Stop,41.1381926,"{'type': 'Point', 'coordinates': [-112.0545902, 41.138192599999996]}",-112.0545902,Vehicle Stop,UT,04/08/2019 08:42:51 AM,84015.0
7944,2300 Block N 1500 W,C2025126,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,2,04/03/2019 02:00:21 AM,Extra Patrol On Site Call,912778260,CAD: Extra Patrol On Site Call,41.1477739,"{'type': 'Point', 'coordinates': [-112.0547823, 41.1477739]}",-112.0547823,Community Policing,UT,04/08/2019 08:42:51 AM,84015.0
7945,2000 Block N 1500 W,C2025127,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,2,04/03/2019 02:04:34 AM,Traffic Stop,912778262,CAD: Traffic Stop,41.1427791,"{'type': 'Point', 'coordinates': [-112.0545371, 41.1427791]}",-112.0545371,Vehicle Stop,UT,04/08/2019 08:42:51 AM,84015.0
7946,1500 Block W 800 N,C1999823,CLINTON,,03/07/2019 05:23:42 PM,Tuesday,5,01/29/2019 05:42:08 AM,Traffic Stop,909212921,CAD: Traffic Stop,41.1253441,"{'type': 'Point', 'coordinates': [-112.0548656, 41.1253441]}",-112.0548656,Vehicle Stop,UT,03/07/2019 05:36:18 PM,84015.0
7947,1500 Block N 2000 W,C1999859,CLINTON,,03/07/2019 05:23:42 PM,Tuesday,8,01/29/2019 08:07:03 AM,Traffic Stop,909212920,CAD: Traffic Stop,41.1356395,"{'type': 'Point', 'coordinates': [-112.0644784, 41.1356395]}",-112.0644784,Vehicle Stop,UT,03/07/2019 05:36:18 PM,84015.0
7948,3400 Block W 2000 N,C2025152,CLINTON,,04/04/2019 09:08:49 AM,Wednesday,5,04/03/2019 05:52:37 AM,Vehicle Burglary,912778263,CAD: Vehicle Burglary,41.1427666,"{'type': 'Point', 'coordinates': [-112.0917486, 41.1427666]}",-112.0917486,Theft from Vehicle,UT,04/08/2019 08:42:51 AM,84015.0
