Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
7950,200 Block S MAIN ST,20161573,PRICE,,,11/01/2016 05:10:02 AM,Monday,0,10/31/2016 12:01:00 AM,"CONTROLLED SUBSTANCE / Narcotic Equipment, Possession",779517611,"[PCPD] Narcotic Equipment, Possession",39.599877,"{'type': 'Point', 'coordinates': [-110.806318, 39.599877]}",-110.806318,Drugs,UT,04/28/2017 07:09:31 AM,84501
7951,1 Block W 400 NORTH,20161577,PRICE,,,11/03/2016 05:10:01 AM,Wednesday,12,11/02/2016 12:39:00 PM,ASSAULT / Simple Assault,780197008,[PCPD] Simple Assault,39.606178,"{'type': 'Point', 'coordinates': [-110.813639, 39.606178]}",-110.813639,Assault,UT,04/30/2017 07:09:09 AM,84501
7952,100 Block E MAIN ST,20161579,PRICE,,,11/03/2016 05:10:01 AM,Wednesday,13,11/02/2016 01:31:00 PM,"CONTROLLED SUBSTANCE / Amphetamine, Possession",780197010,"[PCPD] Amphetamine, Possession",39.5992719,"{'type': 'Point', 'coordinates': [-110.8076549, 39.5992719]}",-110.8076549,Drugs,UT,04/30/2017 07:09:10 AM,84501
7953,100 Block E 100 S,20170673,PRICE,,,05/10/2017 07:07:17 AM,Tuesday,8,05/09/2017 08:13:00 AM,ASSAULT / Simple Assault,804735870,[PCPD] Simple Assault,39.597718,"{'type': 'Point', 'coordinates': [-110.807966, 39.597718]}",-110.807966,Assault,UT,11/04/2017 07:07:14 AM,84501
7954,200 Block N 600 EAST,20170674,PRICE,,,05/10/2017 07:07:17 AM,Tuesday,13,05/09/2017 01:39:00 PM,MISC INCIDENTS / Miscellaneous Incidents,804735871,[PCPD] Miscellaneous Incidents,39.60331499999999,"{'type': 'Point', 'coordinates': [-110.798591, 39.603315]}",-110.798591,Other,UT,11/04/2017 07:07:10 AM,84501
7955,100 Block E 300 N,20170677,PRICE,,,05/10/2017 07:07:17 AM,Tuesday,16,05/09/2017 04:40:00 PM,THEFT / Theft Other,804735874,[PCPD] Theft Other,39.604142,"{'type': 'Point', 'coordinates': [-110.808089, 39.604142]}",-110.808089,Theft,UT,11/04/2017 07:07:11 AM,84501
7956,200 Block S MAIN ST,20170678,PRICE,,,05/10/2017 07:07:17 AM,Tuesday,16,05/09/2017 04:43:00 PM,THEFT / Shoplifting,804735875,[PCPD] Shoplifting,39.599877,"{'type': 'Point', 'coordinates': [-110.806318, 39.599877]}",-110.806318,Theft,UT,11/04/2017 07:07:11 AM,84501
7957,4600 Block NORTH SPRING GLEN ROAD,2017046,SPRING GLEN,,,04/20/2017 07:07:19 AM,Tuesday,0,04/18/2017 12:00:00 AM,"CONTROLLED SUBSTANCE / Amphetamine, Sell",802382902,"[PCPD] Amphetamine, Sell",39.6677823,"{'type': 'Point', 'coordinates': [-110.8580557, 39.6677823]}",-110.8580557,Drugs,UT,10/14/2017 07:07:15 AM,84526
7958,100 Block SOUTH 600 WEST,20170544,PRICE,,,04/19/2017 07:07:20 AM,Tuesday,16,04/18/2017 04:22:00 PM,"TRAFFIC ACCIDENT / Traffic Accident, Vehicle Damage",802300787,"[PCPD] Traffic Accident, Vehicle Damage",39.598308,"{'type': 'Point', 'coordinates': [-110.8202311, 39.598308]}",-110.8202311,Traffic,UT,10/14/2017 07:07:15 AM,84501
7959,1000 Block E. MAIN,20180135,"PRICE, UTAH (CARBON)",,,01/26/2018 08:07:36 AM,Thursday,14,01/25/2018 02:49:00 PM,"CONTROLLED SUBSTANCE / Narcotic Equipment, Possession",832567512,"[PCPD] Narcotic Equipment, Possession",39.6003182,"{'type': 'Point', 'coordinates': [-110.7935369, 39.6003182]}",-110.7935369,Drugs,UT,02/28/2018 08:07:52 AM,84501
7960,600 Block EAST MAIN,20180138,"PRICE, UTAH (CARBON)",,,01/26/2018 08:07:36 AM,Thursday,18,01/25/2018 06:09:00 PM,"TRAFFIC ACCIDENT / Hit/Run, Vehicle Damg",832567515,"[PCPD] Hit/Run, Vehicle Damg",39.599274,"{'type': 'Point', 'coordinates': [-110.79895, 39.599274]}",-110.79895,Traffic,UT,02/28/2018 08:07:52 AM,84501
